MemTotal:       16608192 kB
MemFree:        14725184 kB
MemAvailable:   15748960 kB
Buffers:           86880 kB
Cached:           870960 kB
SwapCached:            0 kB
Active:           890336 kB
Inactive:         655968 kB
Active(anon):     685968 kB
Inactive(anon):        0 kB
Active(file):     204368 kB
Inactive(file):   655968 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097136 kB
SwapFree:        2097136 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               224 kB
Writeback:             0 kB
AnonPages:        673584 kB
Mapped:           113552 kB
Shmem:             13312 kB
KReclaimable:      77184 kB
Slab:             130976 kB
SReclaimable:      77184 kB
SUnreclaim:        53792 kB
KernelStack:        4544 kB
PageTables:        38400 kB
SecPageTables:       128 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    10399184 kB
Committed_AS:    1014096 kB
VmallocTotal:   68447887360 kB
VmallocUsed:       68240 kB
VmallocChunk:          0 kB
Percpu:             1344 kB
CmaTotal:          65536 kB
CmaFree:           55296 kB
